"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",5,4,0,1,0,1,0,0,0,0,3,0,0,0,0,34,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
"17",2,0,1,0,2,0,2,0,0,1,0,0,4,0,0,0,30,0,0,0,2,0,0,0,1,5,0,1,1,0,1,0,0,0,4,3,0,0,0,1
"18",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,3,0,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,6,0
"21",0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,28,0,0,0,0,0,0,0,2,6,8,0,1,0,4,0,0,0,0,1
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,4,0,2,3,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,0,29,0,9,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"24",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,35,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0
"25",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",1,0,4,0,0,0,0,0,0,0,0,1,1,3,0,0,2,0,0,0,0,0,0,0,0,20,0,1,0,0,0,1,0,0,0,0,5,2,0,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,2,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,10,7,0,1,0,0,0,0,40,0,8,1,13,1,2,0,8,0,11,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,2,0,37,0,1,7,1,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
"35",7,2,1,0,6,0,1,5,2,8,0,5,10,0,2,2,4,3,4,17,3,0,6,3,2,3,3,1,3,10,0,1,0,0,31,1,4,9,0,5
"36",3,0,0,1,1,1,8,1,0,1,0,0,1,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,35,0
"40",0,0,7,5,9,0,0,0,0,3,0,4,5,1,0,0,4,6,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,5,0,28
